#       r                g_cl(r)        g_cl-cl(r)         g_11(r)
       127.50000         0.00000         0.00000         0.27773
       128.00000         0.00000         0.00000         0.28656
       128.50000         0.00000         0.00000         0.29741
       129.00000         0.00000         0.00000         0.30908
       129.50000         0.00000         0.00000         0.31725
       130.00000         0.00000         0.00000         0.32693
       130.50000         0.00000         0.00000         0.33857
       131.00000         0.00000         0.00000         0.35092
       131.50000         0.00000         0.20983         0.35966
       132.00000         0.00000         0.00000         0.37195
       132.50000         0.00000         0.00000         0.38270
       133.00000         0.00000         0.00000         0.39345
       133.50000         0.00000         0.00000         0.40372
       134.00000         0.00000         0.00000         0.41587
       134.50000         0.00000         0.41030         0.42738
       135.00000         0.00000         0.00000         0.44068
       135.50000         0.00000         0.00000         0.45446
       136.00000         0.00000         0.20289         0.46571
       136.50000         0.00000         0.00000         0.47798
       137.00000         0.00000         0.00000         0.48739
       137.50000         0.00000         0.00000         0.50288
       138.00000         0.00000         0.19995         0.51444
       138.50000         0.00000         0.00000         0.52796
       139.00000         0.00000         0.19851         0.54152
       139.50000         0.00000         0.00000         0.55445
       140.00000         0.00000         0.00000         0.56812
       140.50000         0.00000         0.00000         0.58013
       141.00000         0.00000         0.00000         0.59359
       141.50000         0.00000         0.00000         0.60942
       142.00000         0.00000         0.00000         0.62178
       142.50000         0.00000         0.19363         0.63638
       143.00000         0.00000         0.00000         0.64975
       143.50000         0.00000         0.19228         0.66333
       144.00000         0.00000         0.19162         0.67829
       144.50000         0.00000         0.00000         0.69241
       145.00000         0.00000         0.19029         0.70589
       145.50000         0.00000         0.94820         0.71984
       146.00000         0.00000         0.56697         0.73704
       146.50000         0.00000         0.18835         0.74823
       147.00000         0.00000         0.18770         0.76326
       147.50000         0.00000         0.00000         0.77934
       148.00000         0.00000         0.18644         0.79399
       148.50000         0.00000         0.00000         0.81043
       149.00000         0.00000         0.37037         0.82125
       149.50000         0.00000         0.00000         0.83714
       150.00000         0.00000         0.00000         0.85170
       150.50000         0.00000         0.55002         0.86668
       151.00000         0.00000         0.18273         0.88368
       151.50000         0.00000         0.72852         0.89754
       152.00000         0.00000         0.36306         0.91042
       152.50000         0.00000         0.18094         0.92737
       153.00000         0.00000         0.36069         0.94000
       153.50000         0.00000         0.35951         0.95654
       154.00000         0.00000         0.17917         0.97101
       154.50000         0.00000         0.17859         0.98870
       155.00000         0.00000         0.71207         0.99873
       155.50000         0.00000         0.17744         1.01449
       156.00000         0.00000         0.35375         1.03098
       156.50000         0.00000         0.00000         1.03949
       157.00000         0.00000         0.52725         1.06037
       157.50000         0.00000         0.52557         1.07437
       158.00000         0.00000         0.34927         1.09055
       158.50000         0.00000         0.69634         1.10029
       159.00000         0.00000         0.34708         1.11845
       159.50000         0.00000         0.51898         1.13121
       160.00000         0.00000         0.00000         1.13851
       160.50000         0.00000         0.34383         1.16067
       161.00000         0.00000         0.51415         1.17341
       161.50000         0.00000         0.85426         1.18739
       162.00000         0.00000         0.34065         1.20331
       162.50000         0.00000         1.52821         1.21137
       163.00000         0.00000         1.01568         1.22503
       163.50000         0.00000         1.35010         1.23774
       164.00000         0.00000         1.51423         1.25328
       164.50000         0.00000         1.00642         1.26759
       165.00000         0.00000         1.83951         1.27926
       165.50000         0.00000         1.83395         1.29322
       166.00000         0.00000         1.66221         1.30216
       166.50000         0.00000         1.32577         1.31659
       167.00000         0.00000         1.48703         1.32741
       167.50000         0.00000         2.96518         1.33996
       168.00000         0.00000         1.64242         1.35049
       168.50000         0.00000         1.63754         1.36398
       169.00000         0.00000         2.44905         1.37537
       169.50000         0.00000         3.58134         1.38730
       170.00000         0.00000         2.11002         1.39675
       170.50000         0.00000         3.88401         1.40622
       171.00000         0.00000         2.09769         1.41635
       171.50000         0.00000         2.57424         1.42684
       172.00000         0.00000         3.04802         1.43608
       172.50000         0.00000         2.71927         1.44830
       173.00000         0.00000         2.39242         1.45868
       173.50000         0.00000         1.74939         1.46746
       174.00000         0.00000         3.48872         1.47355
       174.50000         0.00000         2.52998         1.48232
       175.00000         0.00000         2.20741         1.49076
       175.50000         0.00000         2.67279         1.50014
       176.00000         0.00000         3.91941         1.50742
       176.50000         0.00000         3.28298         1.51705
       177.00000         0.00000         3.74137         1.52242
       177.50000         0.00000         4.04174         1.53064
       178.00000         0.00000         4.03038         1.53540
       178.50000         0.00000         2.93703         1.54176
       179.00000         0.00000         3.69957         1.55052
       179.50000         0.00000         3.84298         1.55397
       180.00000         0.00000         1.99280         1.56046
       180.50000         0.00000         2.90449         1.56849
       181.00000         0.00000         3.35380         1.56977
       181.50000         0.00000         4.10469         1.57562
       182.00000         0.00000         2.42573         1.57698
       182.50000         0.00000         2.87266         1.58632
       183.00000         0.00000         3.61871         1.58942
       183.50000         0.00000         2.85700         1.59254
       184.00000         0.00000         2.39936         1.59325
       184.50000         0.00000         3.14062         1.59659
       185.00000         0.00000         3.57958         1.59965
       185.50000         0.00000         1.63622         1.60559
       186.00000         0.00000         1.92852         1.60545
       186.50000         0.00000         1.92335         1.60655
       187.00000         0.00000         2.50842         1.60908
       187.50000         0.00000         2.64889         1.60871
       188.00000         0.00000         2.20154         1.60893
       188.50000         0.00000         3.07398         1.61208
       189.00000         0.00000         1.89791         1.61356
       189.50000         0.00000         2.32972         1.61190
       190.00000         0.00000         3.34016         1.60956
       190.50000         0.00000         2.17265         1.61010
       191.00000         0.00000         1.58910         1.60957
       191.50000         0.00000         1.72904         1.60965
       192.00000         0.00000         3.01794         1.60805
       192.50000         0.00000         2.58009         1.60840
       193.00000         0.00000         2.00154         1.60464
       193.50000         0.00000         1.71117         1.60207
       194.00000         0.00000         1.70676         1.59800
       194.50000         0.00000         1.56051         1.59467
       195.00000         0.00000         1.83951         1.59387
       195.50000         0.00000         1.12911         1.59492
       196.00000         0.00000         2.11168         1.58933
       196.50000         0.00000         2.52757         1.58529
       197.00000         0.00000         2.66122         1.57951
       197.50000         0.00000         1.25739         1.57461
       198.00000         0.00000         1.95099         1.57042
       198.50000         0.00000         1.39006         1.56688
       199.00000         0.00000         2.63447         1.56356
       199.50000         0.00000         1.79802         1.56302
       200.00000         0.00000         0.55185         1.55297
       200.50000         0.00000         1.51381         1.54566
       201.00000         0.00000         3.43192         1.54102
       201.50000         0.00000         2.05404         1.53491
       202.00000         0.00000         1.91236         1.52901
       202.50000         0.00000         1.90764         1.52368
       203.00000         0.00000         2.31071         1.51926
       203.50000         0.00000         1.89826         1.51291
       204.00000         0.00000         1.35258         1.50632
       204.50000         0.00000         1.88898         1.49751
       205.00000         0.00000         1.48058         1.48785
       205.50000         0.00000         2.01406         1.48020
       206.00000         0.00000         1.87523         1.47638
       206.50000         0.00000         1.60345         1.46892
       207.00000         0.00000         1.33298         1.46174
       207.50000         0.00000         1.86167         1.45176
       208.00000         0.00000         1.59188         1.44688
       208.50000         0.00000         2.38210         1.43420
       209.00000         0.00000         1.32022         1.42684
       209.50000         0.00000         1.58048         1.42220
       210.00000         0.00000         0.91975         1.41173
       210.50000         0.00000         2.22838         1.40064
       211.00000         0.00000         1.56925         1.39379
       211.50000         0.00000         1.17415         1.38451
       212.00000         0.00000         1.04123         1.37839
       212.50000         0.00000         1.68802         1.36696
       213.00000         0.00000         1.68406         1.35675
       213.50000         0.00000         1.29239         1.35114
       214.00000         0.00000         0.90256         1.33971
       214.50000         0.00000         0.90046         1.32696
       215.00000         0.00000         1.28338         1.32008
       215.50000         0.00000         1.02432         1.31033
       216.00000         0.00000         0.63872         1.30170
       216.50000         0.00000         1.40193         1.29052
       217.00000         0.00000         1.14439         1.28585
       217.50000         0.00000         1.26863         1.27405
       218.00000         0.00000         1.26572         1.25681
       218.50000         0.00000         1.26282         1.25308
       219.00000         0.00000         1.63792         1.24056
       219.50000         0.00000         0.37712         1.23399
       220.00000         0.00000         0.87795         1.22324
       220.50000         0.00000         0.75082         1.21379
       221.00000         0.00000         1.12368         1.20308
       221.50000         0.00000         1.61943         1.19244
       222.00000         0.00000         1.24291         1.18191
       222.50000         0.00000         1.11611         1.17028
       223.00000         0.00000         0.61867         1.16356
       223.50000         0.00000         0.61728         1.15364
       224.00000         0.00000         0.61591         1.14318
       224.50000         0.00000         1.22907         1.13375
       225.00000         0.00000         0.49054         1.12198
       225.50000         0.00000         0.48945         1.10991
       226.00000         0.00000         1.09882         1.10257
       226.50000         0.00000         0.36547         1.09337
       227.00000         0.00000         0.72932         1.08288
       227.50000         0.00000         0.72772         1.07511
       228.00000         0.00000         1.45224         1.06393
       228.50000         0.00000         0.84529         1.05200
       229.00000         0.00000         0.72295         1.04202
       229.50000         0.00000         1.32252         1.03550
       230.00000         0.00000         0.71981         1.02354
       230.50000         0.00000         0.47883         1.01580
       231.00000         0.00000         1.43338         1.00652
       231.50000         0.00000         1.07272         0.99602
       232.00000         0.00000         1.30827         0.98419
       232.50000         0.00000         0.59339         0.97736
       233.00000         0.00000         1.06581         0.96949
       233.50000         0.00000         1.18170         0.95760
       234.00000         0.00000         0.94334         0.95024
       234.50000         0.00000         0.58833         0.94325
       235.00000         0.00000         1.05674         0.93007
       235.50000         0.00000         0.82016         0.92188
       236.00000         0.00000         0.81843         0.91329
       236.50000         0.00000         0.58335         0.90771
