# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
2298000 600
254 84.2887 0.0163161 295.61
255 84.6213 0.0148141 295.631
256 84.9537 0.0134956 295.65
257 85.2863 0.0122492 295.667
258 85.6187 0.0111401 295.683
259 85.9513 0.0100403 295.698
260 86.2837 0.00907876 295.711
261 86.6162 0.00826453 295.723
262 86.9487 0.00745644 295.734
263 87.2812 0.0067193 295.743
264 87.6138 0.00612595 295.752
265 87.9463 0.00554517 295.761
266 88.2788 0.00505399 295.768
267 88.6112 0.00457942 295.775
268 88.9438 0.00423334 295.781
269 89.2762 0.00385533 295.787
270 89.6088 0.00356534 295.792
271 89.9412 0.00337662 295.797
272 90.2738 0.00313999 295.802
273 90.6062 0.00296644 295.806
274 90.9388 0.00286594 295.811
275 91.2712 0.00277094 295.815
276 91.6038 0.00274994 295.819
277 91.9363 0.00271062 295.823
278 92.2688 0.00274139 295.828
279 92.6012 0.00276482 295.832
280 92.9338 0.00289262 295.836
281 93.2662 0.00297798 295.841
282 93.5987 0.00313944 295.846
283 93.9312 0.00330708 295.851
284 94.2638 0.00351591 295.857
285 94.5962 0.00373347 295.863
286 94.9287 0.00399063 295.869
287 95.2612 0.00430276 295.876
288 95.5938 0.0046002 295.883
289 95.9263 0.00497511 295.891
290 96.2588 0.00532326 295.9
291 96.5913 0.00574544 295.909
292 96.9237 0.0062158 295.919
293 97.2563 0.00666157 295.93
294 97.5888 0.00716033 295.942
295 97.9213 0.00765608 295.954
296 98.2537 0.00827278 295.968
297 98.5863 0.00892113 295.982
298 98.9188 0.0095091 295.998
299 99.2512 0.0102121 296.015
300 99.5837 0.0109245 296.033
301 99.9163 0.011639 296.053
302 100.249 0.0124465 296.073
303 100.581 0.0132825 296.096
304 100.914 0.0141983 296.12
305 101.246 0.0151261 296.145
306 101.579 0.0160471 296.173
307 101.911 0.017037 296.202
308 102.244 0.0180822 296.233
309 102.576 0.0192462 296.266
310 102.909 0.0204774 296.301
311 103.241 0.0215191 296.338
312 103.574 0.0227684 296.377
313 103.906 0.02416 296.419
314 104.239 0.0254002 296.463
315 104.571 0.02687 296.51
316 104.904 0.0283641 296.56
317 105.236 0.029861 296.613
318 105.569 0.0314474 296.668
319 105.901 0.0331654 296.727
320 106.234 0.0347718 296.789
321 106.566 0.0365353 296.854
322 106.899 0.0382968 296.922
323 107.231 0.0401977 296.994
324 107.564 0.0420739 297.07
325 107.896 0.0441107 297.149
326 108.229 0.0461589 297.233
327 108.561 0.0483136 297.32
328 108.894 0.0504801 297.412
329 109.226 0.0528578 297.509
330 109.559 0.0551407 297.61
331 109.891 0.0574137 297.715
332 110.224 0.0599967 297.826
333 110.556 0.0625914 297.941
334 110.889 0.0651538 298.062
335 111.221 0.0678439 298.188
336 111.554 0.0705566 298.32
337 111.886 0.0733042 298.457
338 112.219 0.0762946 298.6
339 112.551 0.0792302 298.749
340 112.884 0.0822558 298.904
341 113.216 0.0855776 299.066
342 113.549 0.0885661 299.234
343 113.881 0.0919901 299.409
344 114.214 0.0953733 299.591
345 114.546 0.0989405 299.781
346 114.879 0.102248 299.977
347 115.211 0.105904 300.181
348 115.544 0.109728 300.393
349 115.876 0.11327 300.612
350 116.209 0.117186 300.84
351 116.541 0.121083 301.076
352 116.874 0.125086 301.32
353 117.206 0.129088 301.573
354 117.539 0.133417 301.835
355 117.871 0.137748 302.106
356 118.204 0.141884 302.387
357 118.536 0.146449 302.677
358 118.869 0.150909 302.977
359 119.201 0.155575 303.287
360 119.534 0.160291 303.607
361 119.866 0.165045 303.937
362 120.199 0.169865 304.279
363 120.531 0.174847 304.631
364 120.864 0.179638 304.994
365 121.196 0.184946 305.368
366 121.529 0.190054 305.754
367 121.861 0.195267 306.152
368 122.194 0.200561 306.562
369 122.526 0.2063 306.984
370 122.859 0.211581 307.419
371 123.191 0.217334 307.866
372 123.524 0.223128 308.327
373 123.856 0.228905 308.801
374 124.189 0.234694 309.288
375 124.521 0.240844 309.789
376 124.854 0.246677 310.304
377 125.186 0.252878 310.833
378 125.519 0.259015 311.376
379 125.851 0.265229 311.934
380 126.184 0.271659 312.507
381 126.516 0.278058 313.095
382 126.849 0.284701 313.698
383 127.181 0.291603 314.318
384 127.514 0.298176 314.954
385 127.846 0.305225 315.606
386 128.179 0.311814 316.274
387 128.511 0.318842 316.959
388 128.844 0.325811 317.66
389 129.176 0.332871 318.379
390 129.509 0.340072 319.115
391 129.841 0.347369 319.869
392 130.174 0.354841 320.641
393 130.506 0.362173 321.431
394 130.839 0.369867 322.24
395 131.171 0.377541 323.067
396 131.504 0.385092 323.914
397 131.836 0.392776 324.779
398 132.169 0.400739 325.664
