#    Conf       T(K)      KE (eV)        PE (eV)         Pressure (bar)      Pxx(bar)     Pyy(bar)        Pzz(bar)        Pxy(bar)     Pxz(bar)        Pyz(bar)  
      292     1961.23572     7008.77295  -144514.28125   -86702.25781   -71717.37500  -102209.13281   -86180.26563    -1193.84668    28258.12695    24102.07813
      294     1965.99792     7025.79102  -144534.31250   -85821.12500   -75616.29688   -95832.17969   -86014.89063    -6547.27588    23411.09375    30332.56250
      296     1993.62256     7124.51221  -144636.34375   -89276.00000   -80361.09375   -89248.27344   -98218.63281   -13963.89844     7424.32715    26793.30273
      298     1993.05420     7122.48096  -144632.46875   -94800.02344   -84967.03125   -88441.85156  -110991.19531   -21003.12109   -10528.17383    13492.19336
      300     1986.87195     7100.38770  -144607.93750   -99332.21875   -92654.03906   -81304.54688  -124038.08594   -28986.12500   -23039.14844       30.57642
      302     2002.76587     7157.18701  -144664.43750  -100596.62500  -101973.53906   -65870.85938  -133945.46875   -34919.70703   -28365.82227    -9628.95508
      304     2058.39795     7355.99707  -144860.92188  -100417.31250  -110706.35938   -49259.06250  -141286.51563   -37312.79688   -28130.22656   -14772.80859
      306     2173.16382     7766.12988  -145277.85938  -101402.20313  -109523.96875   -45049.62109  -149633.01563   -36831.42578   -26835.21680   -16565.65430
      308     2259.14307     8073.38916  -145588.78125  -101489.74219   -99407.21875   -55810.58984  -149251.42188   -34069.91016   -26030.81250   -16388.97070
      310     2261.05981     8080.23926  -145592.57813   -98601.90625  -103571.82031   -64746.91016  -127486.98438   -30069.81641   -17539.67383   -11902.32520
      312     2224.32397     7948.95801  -145456.79688   -93860.42969  -116425.03125   -68673.81250   -96482.44531   -24500.34766    -7101.70605    -2980.70117
      314     2221.77368     7939.84473  -145446.06250   -90797.60156  -125218.32813   -74750.12500   -72424.35156   -18287.01367    -3588.02466     6503.76123
      316     2263.34082     8088.39111  -145601.68750   -90122.40625  -125060.21875   -81367.67969   -63939.30469   -12007.35547    -8785.59082    15947.34277
      318     2255.66211     8060.95020  -145572.87500   -87878.33594  -117061.28906   -86373.92188   -60199.78516    -7911.79492   -14653.72559    15468.40625
      320     2200.31836     7863.17041  -145371.18750   -84580.08594  -109671.21094   -85927.69531   -58141.34375    -8015.93701   -17444.56641     4091.88525
      322     2150.00122     7683.35449  -145191.71875   -83036.67188  -109012.15625   -76211.08594   -63886.77734    -8267.46387   -16178.62598    -9663.14453
      324     2107.65942     7532.04053  -145041.71875   -82467.91406  -108003.53125   -62207.19531   -77193.03125    -1971.11108   -10561.16895   -17353.33984
      326     2052.38403     7334.50488  -144844.18750   -81268.90625   -98557.27344   -53881.13281   -91368.31250     7796.46777     1291.58606   -17475.83789
      328     1985.57678     7095.75928  -144601.90625   -80570.44531   -88244.20313   -52400.49219  -101066.64844    11058.28613    14263.13867   -12947.03125
      330     1958.29504     6998.26367  -144500.71875   -82540.09375   -83539.42969   -60212.32813  -103868.53906     4858.62354    25571.70508    -6603.42676
      332     2012.81250     7193.08984  -144698.82813   -87346.99219   -84359.35938   -77646.00781  -100035.61719    -4640.11084    32392.87500      627.56561
      334     2104.15649     7519.52148  -145028.14063   -91841.96094   -84602.12500   -98166.37500   -92757.38281   -10984.94043    32461.18555     4362.74268
      336     2185.43628     7809.98779  -145318.82813   -93741.15625   -83979.51563  -114207.03125   -83036.90625   -15119.18945    25105.33789     2041.02942
      338     2238.90625     8001.06982  -145514.28125   -92584.23438   -84535.89844  -121099.94531   -72116.85938   -19210.61914    11787.24609    -4977.40869
