# mol        x          y           z          Q_l( 4)     Q_l( 6)     Q_l( 8)     Q_l(10)     Q_l(12)
   140   291.29123    37.34503     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   141   298.76022    29.87602     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   142   306.22925    37.34503     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   143   313.69824    29.87602     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   144   321.16727    37.34503     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   145   328.63626    29.87602     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   146   336.10526    37.34503     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   147   343.57428    29.87602     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   148   351.04327    37.34503     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   149   358.51227    29.87602     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   150   365.98129    37.34503     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   151     0.00000    44.81403     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   152     7.46901    52.28304     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   153    14.93801    44.81403     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   154    22.40702    52.28304     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   155    29.87602    44.81403     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   156    37.34503    52.28304     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   157    44.81403    44.81403     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   158    52.28304    52.28304     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   159    59.75205    44.81403     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   160    67.22105    52.28304     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   161    74.69006    44.81403     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   162    82.15907    52.28304     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   163    89.62807    44.81403     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   164    97.09708    52.28304     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   165   104.56609    44.81403     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   166   112.03509    52.28304     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   167   119.50410    44.81403     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   168   126.97310    52.28304     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   169   134.44211    44.81403     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   170   141.91112    52.28304     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   171   149.38011    44.81403     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   172   156.84912    52.28304     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   173   164.31813    44.81403     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   174   171.78714    52.28304     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   175   179.25613    44.81403     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   176   186.72514    52.28304     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   177   194.19415    44.81403     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   178   201.66316    52.28304     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   179   209.13217    44.81403     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   180   216.60117    52.28304     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   181   224.07018    44.81403     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   182   231.53918    52.28304     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   183   239.00819    44.81403     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   184   246.47719    52.28304     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   185   253.94620    44.81403     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   186   261.41519    52.28304     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   187   268.88422    44.81403     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   188   276.35321    52.28304     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   189   283.82224    44.81403     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   190   291.29123    52.28304     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   191   298.76022    44.81403     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   192   306.22925    52.28304     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   193   313.69824    44.81403     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   194   321.16727    52.28304     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   195   328.63626    44.81403     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   196   336.10526    52.28304     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   197   343.57428    44.81403     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   198   351.04327    52.28304     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   199   358.51227    44.81403     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   200   365.98129    52.28304     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   201     0.00000    59.75205     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   202     7.46901    67.22105     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   203    14.93801    59.75205     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   204    22.40702    67.22105     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   205    29.87602    59.75205     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   206    37.34503    67.22105     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   207    44.81403    59.75205     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   208    52.28304    67.22105     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   209    59.75205    59.75205     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   210    67.22105    67.22105     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   211    74.69006    59.75205     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   212    82.15907    67.22105     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   213    89.62807    59.75205     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   214    97.09708    67.22105     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   215   104.56609    59.75205     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
   216   112.03509    67.22105     7.46901     0.03637     0.51069     0.42932     0.19519     0.40480
   217   119.50410    59.75205     0.00000     0.03637     0.51069     0.42932     0.19519     0.40480
