# Cluster    x          y           z          Q_l( 4)     Q_l( 6)     Q_l( 8)     Q_l(10)     Q_l(12)
  178   286.96616   503.12045   480.46432     0.14522     0.24129     0.20778     0.25384     0.30878
  179   146.51543    15.60784   343.84085     0.12653     0.22414     0.19289     0.16275     0.31331
  180   266.54431   457.52420   276.30438     0.15963     0.19243     0.24208     0.23775     0.35875
  181    23.84089    91.23801   586.03912     0.08670     0.23903     0.20174     0.18926     0.25660
  182   586.73865   467.54941   322.02283     0.09136     0.23019     0.30989     0.26774     0.34519
  183   314.46411   259.18488   149.73959     0.06684     0.32677     0.25029     0.23529     0.35632
  184   164.14467   516.04089   201.28329     0.06551     0.27867     0.20913     0.19707     0.33487
  185   397.41959   530.71747   473.71240     0.12213     0.22847     0.19457     0.14954     0.23391
  186   468.27332   237.13620   473.84579     0.13491     0.23988     0.23528     0.18907     0.37097
  187   586.24957   643.23309   569.77502     0.07572     0.27207     0.22913     0.23040     0.30650
  188   323.09869   639.26880   227.71957     0.08213     0.26705     0.29725     0.26331     0.31281
  189   103.43456   248.63928   244.29416     0.07296     0.17492     0.24357     0.19269     0.35826
  190   216.09084   608.20038    61.47169     0.06282     0.20397     0.19450     0.20685     0.17835
  191   450.44128   542.88641   388.19397     0.12917     0.30306     0.23838     0.17073     0.38744
  192    14.30622   243.05666   558.55579     0.09414     0.30755     0.21591     0.20370     0.33893
  193    66.27298    77.30711   130.85152     0.08449     0.26741     0.16009     0.17268     0.26877
  194   241.16589   363.84753   281.15823     0.10301     0.16341     0.21665     0.14636     0.29547
  195   478.98224   501.95605    30.81094     0.06658     0.24178     0.20837     0.22794     0.33791
  196   167.13660   387.86194   425.90228     0.12133     0.29118     0.27761     0.25607     0.28015
  197   354.19199   145.73555   280.00018     0.10098     0.31538     0.26974     0.25446     0.30402
  198   296.16074   273.43063   454.78540     0.05782     0.26487     0.22072     0.23829     0.31675
  199   652.06720   326.28165   564.18610     0.05887     0.24674     0.14247     0.20022     0.38704
  200   601.65057   295.75098   401.46088     0.10691     0.26771     0.17787     0.23273     0.28931
  201   153.79924   405.76535   315.98300     0.11547     0.22264     0.28061     0.18448     0.32157
  202   495.91571   146.22444   202.82884     0.08636     0.24733     0.16064     0.18403     0.29374
  203   334.51563   528.90961    58.96926     0.07512     0.29758     0.26709     0.22086     0.30965
  204   210.22287   117.42420   236.84106     0.14316     0.20129     0.25129     0.17475     0.27829
  205   366.24710    55.43508   257.29633     0.14228     0.26465     0.23626     0.24261     0.37427
  206   129.09026   597.84479   349.25696     0.10506     0.20915     0.20617     0.15964     0.36315
  207   230.38535   530.16553   254.82352     0.08995     0.32900     0.19644     0.21959     0.34860
  208    95.00859   157.72771   271.83582     0.07812     0.29881     0.26397     0.29915     0.33644
  209   105.82166    73.32057   566.38568     0.10713     0.23354     0.19301     0.18135     0.31745
  210   659.13538    91.43975   341.48123     0.06904     0.37644     0.15591     0.21672     0.27212
  211   503.84933    10.53510   137.36061     0.13085     0.20727     0.20491     0.20260     0.34704
  212   392.35992   639.92712   583.53180     0.14037     0.29712     0.32133     0.27151     0.34130
