#         w(THz)       w(meV)            Z(w)
       57.42056      237.43402       -0.00005
       57.61586      238.24162       -0.00013
       57.81118      239.04922       -0.00005
       58.00648      239.85681       -0.00014
       58.20179      240.66443       -0.00005
       58.39710      241.47202       -0.00014
       58.59240      242.27960       -0.00005
       58.78772      243.08722       -0.00013
       58.98302      243.89481       -0.00006
       59.17833      244.70241       -0.00013
       59.37364      245.50999       -0.00006
       59.56895      246.31760       -0.00012
       59.76425      247.12521       -0.00007
       59.95956      247.93282       -0.00011
       60.15487      248.74040       -0.00008
       60.35018      249.54800       -0.00010
       60.54549      250.35559       -0.00010
       60.74080      251.16321       -0.00008
       60.93610      251.97079       -0.00011
       61.13141      252.77840       -0.00007
       61.32672      253.58600       -0.00012
       61.52203      254.39359       -0.00007
       61.71733      255.20119       -0.00012
       61.91264      256.00879       -0.00006
       62.10795      256.81638       -0.00013
       62.30326      257.62396       -0.00005
       62.49857      258.43161       -0.00013
       62.69387      259.23920       -0.00005
       62.88918      260.04678       -0.00013
       63.08449      260.85437       -0.00005
       63.27980      261.66199       -0.00013
       63.47511      262.46957       -0.00006
       63.67042      263.27719       -0.00013
       63.86572      264.08478       -0.00006
       64.06103      264.89236       -0.00012
       64.25634      265.69998       -0.00007
       64.45164      266.50757       -0.00011
       64.64696      267.31519       -0.00008
       64.84226      268.12277       -0.00010
       65.03757      268.93036       -0.00009
       65.23288      269.73795       -0.00009
       65.42818      270.54559       -0.00010
       65.62350      271.35318       -0.00008
       65.81880      272.16077       -0.00011
       66.01411      272.96835       -0.00007
       66.20942      273.77597       -0.00012
       66.40472      274.58356       -0.00006
       66.60004      275.39117       -0.00013
       66.79534      276.19876       -0.00006
       66.99065      277.00635       -0.00013
       67.18596      277.81396       -0.00006
       67.38126      278.62155       -0.00013
       67.57658      279.42917       -0.00006
       67.77188      280.23676       -0.00013
       67.96719      281.04434       -0.00006
       68.16250      281.85196       -0.00013
       68.35781      282.65955       -0.00006
       68.55312      283.46713       -0.00012
       68.74843      284.27475       -0.00007
       68.94373      285.08234       -0.00011
       69.13904      285.88995       -0.00008
       69.33435      286.69754       -0.00011
       69.52966      287.50513       -0.00009
       69.72496      288.31274       -0.00010
       69.92027      289.12033       -0.00010
       70.11558      289.92795       -0.00009
       70.31088      290.73553       -0.00011
       70.50620      291.54312       -0.00008
       70.70150      292.35071       -0.00012
       70.89681      293.15836       -0.00007
       71.09212      293.96594       -0.00012
       71.28743      294.77353       -0.00006
       71.48273      295.58112       -0.00013
       71.67805      296.38873       -0.00006
       71.87335      297.19632       -0.00013
       72.06866      298.00394       -0.00006
       72.26397      298.81152       -0.00013
       72.45927      299.61911       -0.00006
       72.65459      300.42673       -0.00013
       72.84989      301.23431       -0.00006
       73.04520      302.04193       -0.00013
       73.24051      302.84952       -0.00007
       73.43581      303.65710       -0.00012
       73.63113      304.46469       -0.00008
       73.82643      305.27234       -0.00011
       74.02174      306.07993       -0.00009
       74.21705      306.88751       -0.00010
       74.41235      307.69510       -0.00010
       74.60767      308.50272       -0.00009
       74.80297      309.31030       -0.00011
       74.99828      310.11789       -0.00008
       75.19359      310.92551       -0.00011
       75.38889      311.73309       -0.00007
       75.58421      312.54071       -0.00012
       75.77951      313.34830       -0.00007
       75.97482      314.15588       -0.00013
       76.17013      314.96347       -0.00006
       76.36544      315.77109       -0.00013
       76.56075      316.57870       -0.00006
