#  w(THz)       w(meV)     S(0.1800,w)    Ss(0.1800,w)
    59.374   245.510        0.07883        0.00147
    59.569   246.318        0.13395        0.00250
    59.764   247.125        0.08860        0.00165
    59.960   247.933        0.12344        0.00230
    60.155   248.740        0.09968        0.00186
    60.350   249.548        0.11200        0.00209
    60.545   250.356        0.11128        0.00208
    60.741   251.163        0.10044        0.00188
    60.936   251.971        0.12260        0.00229
    61.131   252.778        0.08955        0.00167
    61.327   253.586        0.13287        0.00248
    61.522   254.394        0.08008        0.00150
    61.717   255.201        0.14139        0.00264
    61.913   256.009        0.07265        0.00136
    62.108   256.816        0.14759        0.00276
    62.303   257.624        0.06778        0.00127
    62.499   258.432        0.15106        0.00282
    62.694   259.239        0.06576        0.00123
    62.889   260.047        0.15159        0.00283
    63.084   260.854        0.06672        0.00125
    63.280   261.662        0.14916        0.00279
    63.475   262.470        0.07057        0.00132
    63.670   263.277        0.14397        0.00269
    63.866   264.085        0.07701        0.00144
    64.061   264.892        0.13639        0.00255
    64.256   265.700        0.08559        0.00160
    64.452   266.508        0.12696        0.00237
    64.647   267.315        0.09570        0.00179
    64.842   268.123        0.11635        0.00217
    65.038   268.930        0.10663        0.00199
    65.233   269.738        0.10529        0.00197
    65.428   270.546        0.11762        0.00220
    65.623   271.353        0.09456        0.00177
    65.819   272.161        0.12792        0.00239
    66.014   272.968        0.08488        0.00158
    66.209   273.776        0.13682        0.00255
    66.405   274.584        0.07691        0.00144
    66.600   275.391        0.14372        0.00268
    66.795   276.199        0.07119        0.00133
    66.991   277.006        0.14816        0.00277
    67.186   277.814        0.06810        0.00127
    67.381   278.622        0.14985        0.00280
    67.577   279.429        0.06783        0.00127
    67.772   280.237        0.14870        0.00278
    67.967   281.044        0.07038        0.00131
    68.162   281.852        0.14480        0.00270
    68.358   282.660        0.07556        0.00141
    68.553   283.467        0.13844        0.00258
    68.748   284.275        0.08299        0.00155
    68.944   285.082        0.13007        0.00243
    69.139   285.890        0.09214        0.00172
    69.334   286.698        0.12029        0.00225
    69.530   287.505        0.10238        0.00191
    69.725   288.313        0.10977        0.00205
    69.920   289.120        0.11300        0.00211
    70.116   289.928        0.09924        0.00185
    70.311   290.736        0.12325        0.00230
    70.506   291.543        0.08944        0.00167
    70.701   292.351        0.13243        0.00247
    70.897   293.158        0.08103        0.00151
    71.092   293.966        0.13993        0.00261
    71.287   294.774        0.07457        0.00139
    71.483   295.581        0.14523        0.00271
    71.678   296.389        0.07051        0.00132
    71.873   297.196        0.14799        0.00276
    72.069   298.004        0.06911        0.00129
    72.264   298.812        0.14802        0.00276
    72.459   299.619        0.07045        0.00132
    72.655   300.427        0.14534        0.00271
    72.850   301.234        0.07442        0.00139
    73.045   302.042        0.14014        0.00262
    73.241   302.850        0.08074        0.00151
    73.436   303.657        0.13282        0.00248
    73.631   304.465        0.08895        0.00166
    73.826   305.272        0.12387        0.00231
    74.022   306.080        0.09848        0.00184
    74.217   306.888        0.11392        0.00213
    74.412   307.695        0.10867        0.00203
    74.608   308.503        0.10367        0.00194
    74.803   309.310        0.11881        0.00222
    74.998   310.118        0.09382        0.00175
    75.194   310.926        0.12820        0.00239
    75.389   311.733        0.08504        0.00159
    75.584   312.541        0.13620        0.00254
    75.780   313.348        0.07795        0.00146
    75.975   314.156        0.14227        0.00266
    76.170   314.963        0.07301        0.00136
    76.365   315.771        0.14599        0.00273
    76.561   316.579        0.07056        0.00132
    76.756   317.386        0.14712        0.00275
    76.951   318.194        0.07076        0.00132
    77.147   319.001        0.14560        0.00272
    77.342   319.809        0.07358        0.00137
    77.537   320.617        0.14155        0.00264
    77.733   321.424        0.07880        0.00147
    77.928   322.232        0.13524        0.00253
    78.123   323.039        0.08607        0.00161
    78.319   323.847        0.12714        0.00237
    78.514   324.655        0.09487        0.00177
    78.709   325.462        0.11779        0.00220
    78.904   326.270        0.10459        0.00195
    79.100   327.077        0.10787        0.00201
    79.295   327.885        0.11456        0.00214
    79.490   328.693        0.09804        0.00183
    79.686   329.500        0.12407        0.00232
    79.881   330.308        0.08899        0.00166
    80.076   331.115        0.13250        0.00247
    80.272   331.923        0.08134        0.00152
    80.467   332.731        0.13924        0.00260
    80.662   333.538        0.07561        0.00141
    80.858   334.346        0.14386        0.00269
    81.053   335.153        0.07219        0.00135
    81.248   335.961        0.14603        0.00273
    81.443   336.769        0.07130        0.00133
    81.639   337.576        0.14562        0.00272
    81.834   338.384        0.07300        0.00136
    82.029   339.191        0.14266        0.00266
    82.225   339.999        0.07716        0.00144
    82.420   340.807        0.13737        0.00257
    82.615   341.614        0.08349        0.00156
    82.811   342.422        0.13013        0.00243
    83.006   343.229        0.09153        0.00171
    83.201   344.037        0.12142        0.00227
    83.397   344.845        0.10074        0.00188
    83.592   345.652        0.11187        0.00209
    83.787   346.460        0.11047        0.00206
    83.982   347.267        0.10214        0.00191
    84.178   348.075        0.12004        0.00224
    84.373   348.883        0.09289        0.00173
    84.568   349.690        0.12881        0.00241
    84.764   350.498        0.08476        0.00158
    84.959   351.305        0.13616        0.00254
    85.154   352.113        0.07831        0.00146
    85.350   352.921        0.14159        0.00264
    85.545   353.728        0.07398        0.00138
    85.740   354.536        0.14474        0.00270
    85.936   355.343        0.07206        0.00135
    86.131   356.151        0.14540        0.00272
    86.326   356.959        0.07268        0.00136
    86.521   357.766        0.14352        0.00268
    86.717   358.574        0.07579        0.00142
    86.912   359.381        0.13924        0.00260
    87.107   360.189        0.08116        0.00152
    87.303   360.997        0.13286        0.00248
    87.498   361.804        0.08843        0.00165
    87.693   362.612        0.12483        0.00233
    87.889   363.419        0.09708        0.00181
    88.084   364.227        0.11571        0.00216
    88.279   365.035        0.10651        0.00199
    88.475   365.842        0.10613        0.00198
    88.670   366.650        0.11608        0.00217
    88.865   367.457        0.09675        0.00181
    89.060   368.265        0.12511        0.00234
    89.256   369.073        0.08822        0.00165
    89.451   369.880        0.13300        0.00248
    89.646   370.688        0.08112        0.00151
    89.842   371.495        0.13919        0.00260
    90.037   372.303        0.07594        0.00142
    90.232   373.111        0.14326        0.00268
    90.428   373.918        0.07304        0.00136
    90.623   374.726        0.14494        0.00271
    90.818   375.533        0.07261        0.00136
    91.014   376.341        0.14412        0.00269
    91.209   377.149        0.07467        0.00139
    91.404   377.956        0.14085        0.00263
    91.599   378.764        0.07909        0.00148
    91.795   379.571        0.13536        0.00253
    91.990   380.379        0.08555        0.00160
    92.185   381.187        0.12805        0.00239
    92.381   381.994        0.09359        0.00175
    92.576   382.802        0.11941        0.00223
    92.771   383.609        0.10268        0.00192
    92.967   384.417        0.11004        0.00205
    93.162   385.225        0.11216        0.00209
    93.357   386.032        0.10059        0.00188
    93.553   386.840        0.12140        0.00227
    93.748   387.647        0.09172        0.00171
    93.943   388.455        0.12975        0.00242
    94.138   389.263        0.08404        0.00157
    94.334   390.070        0.13664        0.00255
    94.529   390.878        0.07807        0.00146
    94.724   391.685        0.14159        0.00264
    94.920   392.493        0.07423        0.00139
    95.115   393.301        0.14426        0.00269
    95.310   394.108        0.07277        0.00136
    95.506   394.916        0.14448        0.00270
    95.701   395.723        0.07380        0.00138
