#           Q       S_NN(Q)          n(Q)
      6.9115043      0.9504663           3
      6.9400644      1.0004485           3
      6.9686241      0.9966305           3
      6.9971843      0.9764897           3
      7.0257440      0.9169258           3
      7.0543041      0.9757007           3
      7.0828638      1.0009478           3
      7.1114240      0.9973153           3
      7.1399837      1.0440056           3
      7.1685438      1.0299793           3
      7.1971035      1.0365924           3
      7.2256637      1.0412343           3
      7.2542233      1.0068240           3
      7.2827835      0.9859451           3
      7.3113432      0.9602448           3
      7.3399034      1.0275850           3
      7.3684635      1.0361722           3
      7.3970232      1.0490913           3
      7.4255834      1.0458246           3
      7.4541430      1.0675764           3
      7.4827032      1.0490370           3
      7.5112629      0.9692919           3
      7.5398231      0.9827469           3
      7.5683827      0.9743387           3
      7.5969429      0.9375501           3
      7.6255026      0.9801762           3
      7.6540627      1.0309398           3
      7.6826224      1.0314795           3
      7.7111826      1.0429705           3
      7.7397423      0.9791153           3
      7.7683024      0.9022241           3
      7.7968621      0.9986956           3
      7.8254223      0.9848636           3
      7.8539820      0.9988033           3
      7.8825421      1.0596950           3
      7.9111023      0.9955799           3
      7.9396620      0.9196135           3
      7.9682221      0.9124973           3
