#      r        psi_cum 4(r)   psi_cum 6(r)   psi_cum 8(r)   psi_cum10(r)   psi_cum12(r)
  28.70986     0.05569     0.07517     0.07328     0.06902     0.07101
  28.92902     0.05569     0.07517     0.07328     0.06902     0.07101
  29.14818     0.05569     0.07517     0.07328     0.06902     0.07101
  29.36733     0.05569     0.07517     0.07328     0.06902     0.07101
  29.58649     0.05569     0.07517     0.07328     0.06902     0.07101
  29.80565     0.05569     0.07517     0.07328     0.06902     0.07101
  30.02481     0.05569     0.07517     0.07328     0.06902     0.07101
  30.24397     0.05569     0.07517     0.07328     0.06902     0.07101
  30.46313     0.05569     0.07517     0.07328     0.06902     0.07101
  30.68229     0.05569     0.07517     0.07328     0.06902     0.07101
  30.90145     0.05569     0.07517     0.07328     0.06902     0.07101
  31.12061     0.05569     0.07517     0.07328     0.06902     0.07101
  31.33977     0.05569     0.07517     0.07328     0.06902     0.07101
  31.55893     0.05569     0.07517     0.07328     0.06902     0.07101
  31.77809     0.05569     0.07517     0.07328     0.06902     0.07101
  31.99725     0.05569     0.07517     0.07328     0.06902     0.07101
  32.21640     0.05569     0.07517     0.07328     0.06902     0.07101
  32.43556     0.05569     0.07517     0.07328     0.06902     0.07101
  32.65472     0.05569     0.07517     0.07328     0.06902     0.07101
  32.87388     0.05569     0.07517     0.07328     0.06902     0.07101
  33.09304     0.05569     0.07517     0.07328     0.06902     0.07101
  33.31220     0.05569     0.07517     0.07328     0.06902     0.07101
  33.53136     0.05569     0.07517     0.07328     0.06902     0.07101
  33.75052     0.05569     0.07517     0.07328     0.06902     0.07101
  33.96968     0.05569     0.07517     0.07328     0.06902     0.07101
  34.18884     0.05569     0.07517     0.07328     0.06902     0.07101
  34.40800     0.05569     0.07517     0.07328     0.06902     0.07101
  34.62716     0.05569     0.07517     0.07328     0.06902     0.07101
  34.84631     0.05569     0.07517     0.07328     0.06902     0.07101
  35.06548     0.05569     0.07517     0.07328     0.06902     0.07101
  35.28463     0.05569     0.07517     0.07328     0.06902     0.07101
  35.50379     0.05569     0.07517     0.07328     0.06902     0.07101
  35.72295     0.05569     0.07517     0.07328     0.06902     0.07101
  35.94211     0.05569     0.07517     0.07328     0.06902     0.07101
  36.16127     0.05569     0.07517     0.07328     0.06902     0.07101
  36.38043     0.05569     0.07517     0.07328     0.06902     0.07101
  36.59959     0.05569     0.07517     0.07328     0.06902     0.07101
  36.81875     0.05569     0.07517     0.07328     0.06902     0.07101
  37.03791     0.05569     0.07517     0.07328     0.06902     0.07101
  37.25706     0.05569     0.07517     0.07328     0.06902     0.07101
  37.47623     0.05569     0.07517     0.07328     0.06902     0.07101
  37.69538     0.05569     0.07517     0.07328     0.06902     0.07101
  37.91454     0.05569     0.07517     0.07328     0.06902     0.07101
  38.13371     0.05569     0.07517     0.07328     0.06902     0.07101
  38.35286     0.05569     0.07517     0.07328     0.06902     0.07101
  38.57202     0.05569     0.07517     0.07328     0.06902     0.07101
  38.79118     0.05569     0.07517     0.07328     0.06902     0.07101
  39.01034     0.05569     0.07517     0.07328     0.06902     0.07101
  39.22950     0.05569     0.07517     0.07328     0.06902     0.07101
  39.44866     0.05569     0.07517     0.07328     0.06902     0.07101
  39.66782     0.05569     0.07517     0.07328     0.06902     0.07101
  39.88698     0.05569     0.07517     0.07328     0.06902     0.07101
  40.10614     0.05569     0.07517     0.07328     0.06902     0.07101
  40.32529     0.05569     0.07517     0.07328     0.06902     0.07101
  40.54446     0.05569     0.07517     0.07328     0.06902     0.07101
  40.76361     0.05569     0.07517     0.07328     0.06902     0.07101
  40.98277     0.05569     0.07517     0.07328     0.06902     0.07101
  41.20193     0.05569     0.07517     0.07328     0.06902     0.07101
  41.42109     0.05569     0.07517     0.07328     0.06902     0.07101
  41.64025     0.05569     0.07517     0.07328     0.06902     0.07101
  41.85941     0.05569     0.07517     0.07328     0.06902     0.07101
  42.07857     0.05569     0.07517     0.07328     0.06902     0.07101
  42.29773     0.05569     0.07517     0.07328     0.06902     0.07101
  42.51689     0.05569     0.07517     0.07328     0.06902     0.07101
  42.73605     0.05569     0.07517     0.07328     0.06902     0.07101
  42.95521     0.05569     0.07517     0.07328     0.06902     0.07101
  43.17437     0.05569     0.07517     0.07328     0.06902     0.07101
  43.39352     0.05569     0.07517     0.07328     0.06902     0.07101
  43.61268     0.05569     0.07517     0.07328     0.06902     0.07101
  43.83184     0.05569     0.07517     0.07328     0.06902     0.07101
