#       r                rhoi_c        rho_+        rho_-
     63.3838654     -0.0000469      0.0203756     -0.0204224
     63.8838654      0.0004262      0.0206785     -0.0202523
     64.3838654     -0.0002096      0.0202236     -0.0204332
     64.8838654      0.0002208      0.0205209     -0.0203002
     65.3838654     -0.0002508      0.0202684     -0.0205192
     65.8838654      0.0000585      0.0203050     -0.0202464
     66.3838654     -0.0001327      0.0200846     -0.0202172
     66.8838654      0.0000320      0.0199552     -0.0199233
     67.3838654     -0.0000321      0.0198731     -0.0199052
     67.8838654      0.0000932      0.0198324     -0.0197392
     68.3838654     -0.0003040      0.0194175     -0.0197215
     68.8838654      0.0000573      0.0191821     -0.0191248
     69.3838654     -0.0000104      0.0186995     -0.0187100
     69.8838654      0.0000125      0.0184301     -0.0184176
     70.3838654     -0.0000221      0.0179875     -0.0180096
     70.8838654      0.0000989      0.0180952     -0.0179963
     71.3838654     -0.0001437      0.0178416     -0.0179853
     71.8838654      0.0003185      0.0180787     -0.0177602
     72.3838654     -0.0000786      0.0177418     -0.0178204
     72.8838654      0.0004405      0.0177351     -0.0172946
     73.3838654      0.0000203      0.0176947     -0.0176744
     73.8838654     -0.0000656      0.0178380     -0.0179036
     74.3838654     -0.0002160      0.0179527     -0.0181687
     74.8838654     -0.0000208      0.0180956     -0.0181163
     75.3838654      0.0000044      0.0183028     -0.0182984
     75.8838654     -0.0000796      0.0184519     -0.0185314
     76.3838654      0.0001039      0.0186885     -0.0185846
     76.8838654     -0.0002306      0.0186812     -0.0189118
     77.3838654      0.0001246      0.0189066     -0.0187819
     77.8838654     -0.0000452      0.0189394     -0.0189846
     78.3838654     -0.0001301      0.0192779     -0.0194081
     78.8838654     -0.0001536      0.0192764     -0.0194300
     79.3838654      0.0002463      0.0194532     -0.0192069
     79.8838654      0.0001369      0.0196223     -0.0194854
     80.3838654      0.0001505      0.0195409     -0.0193904
     80.8838654      0.0001460      0.0197131     -0.0195670
     81.3838654      0.0000154      0.0201967     -0.0201813
     81.8838654     -0.0000384      0.0205906     -0.0206289
     82.3838654     -0.0001601      0.0209883     -0.0211484
     82.8838654     -0.0000166      0.0212825     -0.0212991
     83.3838654     -0.0001812      0.0212440     -0.0214253
     83.8838654     -0.0000909      0.0213508     -0.0214417
     84.3838654      0.0001048      0.0212739     -0.0211691
     84.8838654      0.0000574      0.0212087     -0.0211514
     85.3838654     -0.0000266      0.0208922     -0.0209188
     85.8838654     -0.0000111      0.0207845     -0.0207956
     86.3838654     -0.0002698      0.0205595     -0.0208293
     86.8838654     -0.0000306      0.0205340     -0.0205646
     87.3838654      0.0001680      0.0204575     -0.0202895
     87.8838654     -0.0002288      0.0201319     -0.0203607
     88.3838654      0.0000204      0.0200602     -0.0200399
     88.8838654      0.0002512      0.0201512     -0.0199000
     89.3838654      0.0000180      0.0200544     -0.0200364
     89.8838654      0.0000588      0.0201087     -0.0200499
     90.3838654      0.0006142      0.0205973     -0.0199831
     90.8838654     -0.0002754      0.0205302     -0.0208057
     91.3838654      0.0002001      0.0210582     -0.0208582
     91.8838654     -0.0001960      0.0210397     -0.0212357
     92.3838654     -0.0002103      0.0211330     -0.0213433
     92.8838654     -0.0001452      0.0211138     -0.0212590
     93.3838654     -0.0000211      0.0212923     -0.0213134
