#    Conf       T(K)      KE (Kcal/mol)  
 21673500      144.27499    16126.38672
 21675000      141.79088    15848.72266
 21676500      144.66353    16169.81348
 21678000      142.48419    15926.21875
 21679500      143.09258    15994.22070
 21681000      143.18719    16004.79688
 21682500      142.44406    15921.73242
 21684000      144.63161    16166.24707
 21685500      142.78139    15959.43750
 21687000      143.01419    15985.45898
 21688500      144.56224    16158.49316
 21690000      142.89249    15971.85547
 21691500      142.22438    15897.17773
 21693000      143.31195    16018.74023
 21694500      142.72426    15953.05273
 21696000      143.38445    16026.84375
 21697500      143.36980    16025.20703
 21699000      142.70847    15951.28711
 21700500      144.15666    16113.15918
 21702000      142.98454    15982.14453
 21703500      142.89670    15972.32617
 21705000      141.88524    15859.26953
 21706500      142.08693    15881.81445
 21708000      143.25967    16012.89746
 21709500      142.76375    15957.46680
 21711000      141.92102    15863.26953
 21712500      141.28258    15791.90625
 21714000      143.82050    16075.58398
 21715500      142.41057    15917.98828
 21717000      142.79362    15960.80469
 21718500      143.56903    16047.47656
 21720000      143.66498    16058.20117
 21721500      143.29645    16017.00879
 21723000      143.79655    16072.90723
 21724500      142.50017    15928.00293
 21726000      143.20837    16007.16309
 21727500      144.20682    16118.76563
 21729000      143.01770    15985.85254
 21730500      144.52853    16154.72559
 21732000      143.13564    15999.03320
 21733500      141.97969    15869.82813
 21735000      143.01390    15985.42676
 21736500      142.18115    15892.34668
 21738000      143.36978    16025.20605
 21739500      142.93388    15976.48242
 21741000      142.64169    15943.82227
 21742500      145.06372    16214.54590
 21744000      144.71576    16175.65234
 21745500      142.07413    15880.38281
 21747000      143.02724    15986.91699
 21748500      141.72945    15841.85645
 21750000      143.66463    16058.16113
 21751500      142.22096    15896.79590
 21753000      142.57680    15936.56934
 21754500      143.70277    16062.42578
 21756000      142.64301    15943.96875
 21757500      143.71716    16064.03516
 21759000      143.31865    16019.48926
 21760500      142.21423    15896.04297
 21762000      142.18031    15892.25195
 21763500      143.99023    16094.55762
 21765000      143.27301    16014.38867
 21766500      143.23924    16010.61426
 21768000      142.44710    15922.07324
 21769500      142.65236    15945.01465
 21771000      143.66702    16058.43066
 21772500      143.23865    16010.54688
 21774000      143.15245    16000.91406
 21775500      143.06438    15991.06836
 21777000      142.44846    15922.22363
 21778500      143.18724    16004.80078
 21780000      143.78133    16071.20605
 21781500      141.95479    15867.04395
 21783000      144.52348    16154.16113
 21784500      142.99541    15983.35840
 21786000      142.76468    15957.56934
 21787500      144.73674    16177.99805
 21789000      141.73938    15842.96680
