#       r             rho(1)         rho(2)         rho(3)         rho(4)         rho(5)         rho(6)         rho(7)
    -37.6161346      0.0015763      0.0015739      0.0015315      0.0016316      0.0157666      0.0322137      0.0161229
    -37.1161346      0.0014963      0.0014891      0.0014723      0.0016564      0.0160524      0.0322145      0.0160228
    -36.6161346      0.0015195      0.0014731      0.0014466      0.0017116      0.0161525      0.0316725      0.0160620
    -36.1161346      0.0015315      0.0015315      0.0014058      0.0015972      0.0161221      0.0323986      0.0160684
    -35.6161346      0.0014482      0.0014242      0.0014571      0.0015996      0.0159131      0.0326180      0.0161429
    -35.1161346      0.0014563      0.0013322      0.0014362      0.0015851      0.0160452      0.0322825      0.0163878
    -34.6161346      0.0013714      0.0014346      0.0014090      0.0015475      0.0161068      0.0324443      0.0162590
    -34.1161346      0.0014643      0.0015507      0.0014795      0.0014979      0.0164111      0.0328534      0.0162237
    -33.6161346      0.0015731      0.0015715      0.0014915      0.0014378      0.0161901      0.0329430      0.0164095
    -33.1161346      0.0016300      0.0016484      0.0015355      0.0014258      0.0162654      0.0325515      0.0163598
    -32.6161346      0.0016700      0.0015251      0.0014771      0.0014675      0.0163310      0.0327933      0.0164959
    -32.1161346      0.0016068      0.0014210      0.0015427      0.0014410      0.0164623      0.0327261      0.0163382
    -31.6161346      0.0016164      0.0014402      0.0015051      0.0013914      0.0164903      0.0328253      0.0164783
    -31.1161346      0.0016060      0.0014635      0.0015411      0.0014298      0.0163782      0.0328886      0.0162590
    -30.6161346      0.0015275      0.0014426      0.0015123      0.0014498      0.0163214      0.0325403      0.0163574
    -30.1161346      0.0014979      0.0015675      0.0015916      0.0015587      0.0163478      0.0327461      0.0163406
    -29.6161346      0.0014907      0.0015779      0.0015883      0.0015083      0.0164279      0.0324066      0.0162293
    -29.1161346      0.0016084      0.0015964      0.0016236      0.0015699      0.0163342      0.0324459      0.0159291
    -28.6161346      0.0015131      0.0015635      0.0015932      0.0014450      0.0161012      0.0320544      0.0160684
    -28.1161346      0.0014771      0.0016252      0.0016388      0.0014490      0.0160180      0.0319927      0.0159235
    -27.6161346      0.0013882      0.0015707      0.0016028      0.0014170      0.0160492      0.0319975      0.0159820
    -27.1161346      0.0013890      0.0015675      0.0015972      0.0014619      0.0159820      0.0317405      0.0157162
    -26.6161346      0.0014779      0.0014875      0.0015867      0.0014923      0.0159595      0.0316365      0.0157034
    -26.1161346      0.0015867      0.0015499      0.0015379      0.0014651      0.0156105      0.0314179      0.0153567
    -25.6161346      0.0016180      0.0015667      0.0015771      0.0014867      0.0157122      0.0310360      0.0153695
    -25.1161346      0.0016708      0.0016044      0.0015883      0.0015715      0.0154384      0.0304852      0.0150861
    -24.6161346      0.0016516      0.0016052      0.0015843      0.0016012      0.0152782      0.0303740      0.0148627
    -24.1161346      0.0016844      0.0015859      0.0015964      0.0016188      0.0150989      0.0295990      0.0144480
    -23.6161346      0.0017068      0.0016028      0.0015956      0.0015875      0.0148347      0.0290330      0.0143256
    -23.1161346      0.0016868      0.0015227      0.0015980      0.0017268      0.0145073      0.0284934      0.0139957
    -22.6161346      0.0015699      0.0015932      0.0016332      0.0017228      0.0142639      0.0280531      0.0140061
    -22.1161346      0.0014811      0.0016076      0.0016516      0.0017485      0.0141070      0.0281772      0.0142575
    -21.6161346      0.0015819      0.0015827      0.0016628      0.0016940      0.0139429      0.0286719      0.0145377
    -21.1161346      0.0016828      0.0016540      0.0016532      0.0017164      0.0141903      0.0286983      0.0144448
    -20.6161346      0.0017108      0.0016964      0.0016548      0.0017773      0.0145577      0.0288104      0.0144721
    -20.1161346      0.0016972      0.0016540      0.0016876      0.0017533      0.0145857      0.0292844      0.0145401
    -19.6161346      0.0017941      0.0017228      0.0017373      0.0017084      0.0143552      0.0291122      0.0147387
    -19.1161346      0.0017493      0.0016284      0.0016028      0.0017140      0.0145441      0.0295366      0.0149524
    -18.6161346      0.0016588      0.0016972      0.0015996      0.0017068      0.0147250      0.0299112      0.0154432
    -18.1161346      0.0015667      0.0016956      0.0016148      0.0016748      0.0149748      0.0304716      0.0153407
    -17.6161346      0.0015251      0.0016820      0.0016420      0.0016988      0.0154904      0.0311057      0.0157730
    -17.1161346      0.0015547      0.0017036      0.0015691      0.0016316      0.0153239      0.0314043      0.0159619
    -16.6161346      0.0016100      0.0016548      0.0016524      0.0015691      0.0158226      0.0319079      0.0162902
    -16.1161346      0.0016532      0.0016868      0.0016332      0.0014987      0.0159451      0.0323202      0.0167649
    -15.6161346      0.0016892      0.0015739      0.0016036      0.0014819      0.0164335      0.0332793      0.0166280
    -15.1161346      0.0016380      0.0014803      0.0015835      0.0014827      0.0166656      0.0335779      0.0170387
    -14.6161346      0.0016332      0.0014563      0.0015811      0.0014418      0.0165960      0.0338637      0.0170884
    -14.1161346      0.0014731      0.0015059      0.0014691      0.0015051      0.0171228      0.0338805      0.0170547
    -13.6161346      0.0014042      0.0014683      0.0014883      0.0014715      0.0170723      0.0343304      0.0172333
    -13.1161346      0.0013810      0.0015651      0.0015275      0.0015075      0.0170916      0.0341591      0.0172765
    -12.6161346      0.0013842      0.0015275      0.0014098      0.0014859      0.0172084      0.0346426      0.0171636
    -12.1161346      0.0013778      0.0014474      0.0014250      0.0015211      0.0172373      0.0345890      0.0173189
    -11.6161346      0.0014218      0.0014474      0.0013874      0.0014899      0.0171612      0.0345258      0.0171588
    -11.1161346      0.0014979      0.0014122      0.0013458      0.0014218      0.0173630      0.0342968      0.0171764
    -10.6161346      0.0014226      0.0013170      0.0012721      0.0014699      0.0171324      0.0341863      0.0169563
    -10.1161346      0.0013818      0.0013129      0.0012769      0.0014170      0.0171524      0.0337876      0.0168025
     -9.6161346      0.0013850      0.0013017      0.0014242      0.0013930      0.0170259      0.0334994      0.0164287
     -9.1161346      0.0013890      0.0013490      0.0013906      0.0015171      0.0166552      0.0335090      0.0166240
     -8.6161346      0.0014274      0.0014531      0.0014202      0.0014979      0.0164663      0.0332657      0.0168186
     -8.1161346      0.0015523      0.0014426      0.0014763      0.0014442      0.0167265      0.0331680      0.0167857
     -7.6161346      0.0015267      0.0015147      0.0014643      0.0014883      0.0167025      0.0334874      0.0168770
     -7.1161346      0.0014619      0.0015027      0.0014795      0.0014667      0.0168802      0.0336027      0.0167297
     -6.6161346      0.0013914      0.0016588      0.0014795      0.0015691      0.0168258      0.0336195      0.0166841
     -6.1161346      0.0014595      0.0015571      0.0014947      0.0015123      0.0168778      0.0331304      0.0167345
     -5.6161346      0.0014090      0.0014923      0.0013890      0.0015259      0.0166048      0.0332472      0.0166432
     -5.1161346      0.0014354      0.0014867      0.0014298      0.0014915      0.0167729      0.0334906      0.0166929
     -4.6161346      0.0014210      0.0014811      0.0014522      0.0015427      0.0167041      0.0330471      0.0165704
     -4.1161346      0.0014170      0.0014162      0.0015131      0.0015539      0.0166969      0.0331063      0.0163798
     -3.6161346      0.0014683      0.0014747      0.0015403      0.0015011      0.0165616      0.0327149      0.0162878
     -3.1161346      0.0013946      0.0014474      0.0014555      0.0015259      0.0163446      0.0323074      0.0159643
     -2.6161346      0.0013586      0.0014402      0.0015195      0.0015323      0.0163142      0.0320528      0.0158643
     -2.1161346      0.0014418      0.0014547      0.0015171      0.0014587      0.0159892      0.0318967      0.0156865
     -1.6161346      0.0014595      0.0014819      0.0014803      0.0015195      0.0157762      0.0314235      0.0157938
     -1.1161346      0.0014827      0.0016020      0.0015219      0.0015395      0.0157898      0.0312610      0.0155088
     -0.6161346      0.0014771      0.0015867      0.0015932      0.0016084      0.0156409      0.0309936      0.0151662
     -0.1161346      0.0014699      0.0014939      0.0015835      0.0015851      0.0156185      0.0301930      0.0147242
      0.3838654      0.0015459      0.0015179      0.0015924      0.0015611      0.0151494      0.0295894      0.0146482
      0.8838654      0.0015315      0.0015323      0.0016044      0.0015948      0.0148179      0.0292099      0.0142887
      1.3838654      0.0016612      0.0016516      0.0016252      0.0014587      0.0145946      0.0287936      0.0140173
      1.8838654      0.0015571      0.0016540      0.0016244      0.0015723      0.0142983      0.0282885      0.0139949
      2.3838654      0.0016404      0.0016788      0.0017100      0.0016028      0.0141158      0.0279522      0.0137555
      2.8838654      0.0016260      0.0017501      0.0017941      0.0017349      0.0138620      0.0274951      0.0134537
      3.3838654      0.0017124      0.0017613      0.0018141      0.0018694      0.0137155      0.0274943      0.0139181
      3.8838654      0.0018341      0.0017172      0.0018285      0.0017236      0.0134633      0.0276264      0.0138300
      4.3838654      0.0017861      0.0016956      0.0017821      0.0016836      0.0138396      0.0279418      0.0138732
      4.8838654      0.0017621      0.0018661      0.0017509      0.0017156      0.0137956      0.0281227      0.0140806
      5.3838654      0.0018381      0.0019342      0.0017365      0.0016756      0.0139293      0.0283029      0.0145970
      5.8838654      0.0018173      0.0017901      0.0018069      0.0015964      0.0141302      0.0289898      0.0146026
      6.3838654      0.0018437      0.0017453      0.0017445      0.0016724      0.0144633      0.0293228      0.0146354
      6.8838654      0.0017757      0.0017228      0.0017429      0.0016460      0.0146002      0.0290970      0.0144368
      7.3838654      0.0018597      0.0015940      0.0016612      0.0016556      0.0146114      0.0290194      0.0144528
      7.8838654      0.0018373      0.0015908      0.0016244      0.0015988      0.0143912      0.0292459      0.0146154
      8.3838654      0.0017661      0.0015027      0.0015924      0.0016444      0.0145145      0.0290474      0.0147210
      8.8838654      0.0017829      0.0016548      0.0017196      0.0016236      0.0146650      0.0296454      0.0149132
      9.3838654      0.0017741      0.0016820      0.0017509      0.0016572      0.0146154      0.0297879      0.0149580
      9.8838654      0.0016884      0.0016876      0.0017845      0.0016020      0.0148828      0.0297583      0.0150004
     10.3838654      0.0016428      0.0017405      0.0018758      0.0016372      0.0150621      0.0298824      0.0151197
     10.8838654      0.0016732      0.0017565      0.0017989      0.0016644      0.0149980      0.0299809      0.0150757
     11.3838654      0.0016420      0.0018125      0.0017485      0.0016140      0.0150453      0.0304852      0.0153063
     11.8838654      0.0015827      0.0017517      0.0016908      0.0015667      0.0152054      0.0305053      0.0154015
     12.3838654      0.0015691      0.0017004      0.0015603      0.0015988      0.0152438      0.0305733      0.0153695
     12.8838654      0.0016764      0.0016524      0.0014931      0.0015883      0.0154159      0.0306494      0.0151710
     13.3838654      0.0016820      0.0015451      0.0014619      0.0017244      0.0153887      0.0305925      0.0151878
     13.8838654      0.0016868      0.0015427      0.0015179      0.0018125      0.0151958      0.0301482      0.0150285
     14.3838654      0.0016796      0.0015371      0.0015859      0.0018253      0.0151942      0.0298240      0.0149940
     14.8838654      0.0015555      0.0015555      0.0015627      0.0017349      0.0150645      0.0300962      0.0149012
     15.3838654      0.0015843      0.0015475      0.0015996      0.0016308      0.0149972      0.0295918      0.0147130
     15.8838654      0.0015787      0.0015875      0.0016276      0.0016676      0.0148499      0.0294053      0.0146706
     16.3838654      0.0014803      0.0015435      0.0016396      0.0017100      0.0148075      0.0293716      0.0146882
     16.8838654      0.0015203      0.0015507      0.0015587      0.0016620      0.0147018      0.0293060      0.0147755
     17.3838654      0.0015139      0.0016324      0.0015723      0.0016940      0.0145865      0.0294541      0.0146186
     17.8838654      0.0014931      0.0017485      0.0015667      0.0016884      0.0147523      0.0293644      0.0143752
     18.3838654      0.0015899      0.0017997      0.0015819      0.0016892      0.0145857      0.0289561      0.0144152
     18.8838654      0.0016612      0.0016748      0.0016172      0.0017333      0.0143760      0.0285558      0.0142391
