# mol        x          y           z          Q_l( 4)     Q_l( 6)     Q_l( 8)     Q_l(10)     Q_l(12)
   210     8.19462    11.86835     2.84043     0.16695     0.30747     0.30220     0.32748     0.29037
   211    13.51356     7.94878    16.45053     0.15653     0.31582     0.33234     0.27095     0.32493
   212    10.90816     3.95715    12.63475     0.10814     0.26149     0.31434     0.19029     0.23909
   213     8.18356     3.03786    13.89944     0.11906     0.26017     0.29702     0.26377     0.23446
   214     6.29683    12.58941    12.49336     0.23897     0.25130     0.30535     0.25859     0.29658
   215     5.43236    11.49388     1.98088     0.16635     0.21713     0.26298     0.23605     0.25910
   216     4.07200    16.20332     2.72328     0.12443     0.32609     0.28020     0.24282     0.28913
   217    10.79087    13.74127    12.36948     0.13432     0.43250     0.28277     0.34572     0.35503
   218    12.74064     4.31272    15.96280     0.13060     0.29981     0.26668     0.35697     0.32655
   219     7.07336    11.34025     4.83097     0.20265     0.27283     0.28947     0.27449     0.25591
   220     1.35538     7.38668     1.14919     0.08384     0.31416     0.21204     0.20406     0.26700
   221    14.41318    12.21564     2.68519     0.17092     0.26625     0.36515     0.23951     0.25721
   222    14.33939     5.62711     8.82272     0.15843     0.23055     0.32370     0.20507     0.20829
   223     4.68730     6.94112    10.60636     0.18689     0.27303     0.23202     0.20025     0.23226
   224     2.87759    12.70101     8.98574     0.11179     0.37532     0.34872     0.35235     0.34974
   225    15.51666    15.02216     7.90440     0.21370     0.29121     0.34722     0.27787     0.29431
   226    13.07077     5.23159    14.75018     0.41818     0.33768     0.32174     0.34727     0.28596
   227    10.07197     9.36922     3.23088     0.25468     0.34833     0.28664     0.27555     0.24577
   228     9.57208    13.90950     7.18428     0.14183     0.23431     0.34005     0.26003     0.25880
   229     0.33328    15.98356     7.23211     0.13402     0.28829     0.27880     0.23348     0.28381
   230     0.83601    16.64014     6.74797     0.22912     0.34815     0.27630     0.28698     0.33686
   231     4.62794    13.45924     2.24069     0.11482     0.16524     0.20358     0.22735     0.19916
   232    10.14717     1.23537     8.99462     0.19576     0.26601     0.25302     0.26782     0.22672
   233     3.32886    13.96649     5.54661     0.17362     0.38502     0.21180     0.27052     0.23827
   234     2.76300    11.12876    16.47471     0.22734     0.30980     0.31873     0.24461     0.34086
   235     7.30547     5.48914     8.52886     0.17182     0.28092     0.23453     0.26006     0.22820
   236     9.09651    14.69847    11.13465     0.25473     0.34102     0.34717     0.32390     0.40108
   237    10.33408    13.92894     5.10991     0.17760     0.25368     0.24517     0.21014     0.23172
   238    14.24811    14.26601     3.86154     0.21871     0.44365     0.31254     0.25278     0.37291
   239     4.56848     5.53178     0.64574     0.15663     0.31400     0.21400     0.28173     0.29802
   240    14.88163     1.59613     8.63341     0.14898     0.29153     0.37230     0.36540     0.37622
   241     3.56362     2.29582     4.83946     0.09943     0.38073     0.30918     0.23799     0.32625
   242     8.72337     3.31182     9.43614     0.16268     0.26090     0.17900     0.20488     0.25388
   243    14.30201     4.57956     8.85723     0.22718     0.41214     0.26768     0.26029     0.25436
   244    13.16409     7.47500    15.58434     0.13572     0.29568     0.44317     0.33753     0.25430
   245    15.03554     7.76919     9.51070     0.18775     0.16232     0.38638     0.26678     0.26352
   246    16.30332     0.84771    12.92670     0.10451     0.16919     0.29287     0.20373     0.19102
   247    14.57006     5.24644     5.79586     0.16262     0.36834     0.34575     0.24374     0.24220
   248    12.68921     6.63682     8.69543     0.23295     0.31987     0.31480     0.33868     0.29086
   249    14.43320     6.91694     2.11901     0.09520     0.23284     0.27372     0.23914     0.30559
   250     7.69752     0.53085     5.04587     0.09042     0.44203     0.28069     0.30294     0.28210
   251     7.67348    16.37673     1.09973     0.22461     0.35468     0.24676     0.20603     0.32000
   252     1.81919    12.92495     8.26381     0.18135     0.33231     0.31418     0.23922     0.33023
   253    11.60960    10.30030    15.81392     0.26989     0.31768     0.35458     0.29183     0.30389
   254     8.34093     4.67254    11.11477     0.22626     0.26131     0.32516     0.28214     0.27424
   255     1.57400     6.59579     2.74432     0.14251     0.22993     0.26438     0.17946     0.22284
   256    11.41374     0.42835    12.01909     0.22210     0.28882     0.29825     0.19410     0.27789
   257     8.51169    10.93530     9.78221     0.12566     0.27248     0.30440     0.23465     0.36594
   258     5.09600     7.73367     2.05571     0.21291     0.38212     0.32919     0.24754     0.26590
   259     5.97650    14.07552     0.26404     0.20979     0.24844     0.26720     0.26329     0.28300
   260     0.25414     3.34492     4.31420     0.15431     0.25747     0.19852     0.20983     0.24111
   261     6.15138     3.20146    15.70414     0.20484     0.36575     0.30281     0.28845     0.31854
   262    10.53040    10.14264     4.38300     0.16613     0.35166     0.29796     0.22526     0.26064
   263     6.63091     0.74325    12.06821     0.13564     0.23754     0.20710     0.20887     0.21665
   264     2.17687     4.25239     0.22524     0.15011     0.24454     0.30871     0.28644     0.23832
   265     2.01660     0.60875    11.26970     0.14456     0.46123     0.23228     0.24725     0.35058
   266     8.15342     5.97498     4.00678     0.15564     0.31410     0.27131     0.23478     0.29983
   267     4.34484     9.90728     6.66890     0.17352     0.24293     0.28744     0.33978     0.28578
   268    13.74322    15.69135    12.27326     0.16907     0.33094     0.22809     0.32198     0.25756
   269     7.76586     2.54197     8.42605     0.08237     0.39906     0.22390     0.25190     0.28835
   270     2.59570    15.70595     3.34425     0.18951     0.36172     0.21504     0.21120     0.21614
   271     6.24744     2.66634    13.68369     0.12694     0.31695     0.26009     0.28407     0.28578
   272     2.00631     5.34449     7.46612     0.11877     0.39988     0.30107     0.28952     0.33167
   273     1.52864     6.03510     9.97029     0.21171     0.34631     0.26288     0.20990     0.25439
   274     8.00426    11.05671    15.08312     0.12124     0.26365     0.28579     0.27612     0.27977
   275     9.19187    14.36346     9.18712     0.10896     0.27110     0.25834     0.18573     0.19937
