#       Q              S_11(Q)         S_22(Q)         S_33(Q)         S_44(Q)         S_55(Q)         S_66(Q)         S_77(Q)
      14.6824408       1.0765944       1.0735054       0.9738207       0.9912543       1.0161747       1.0676167       1.0490254
      14.7649269       1.1115251       1.0954258       1.0744632       1.0596668       0.9847367       0.9084469       0.9232094
      14.8474121       1.0773147       1.0651915       1.0626553       0.8587639       1.1122699       1.0052400       0.8925717
      14.9298983       1.0906174       0.9027105       1.0337943       1.0796838       1.0723515       1.0949132       0.8050755
      15.0123835       1.1633661       1.0426751       1.2461580       0.8243628       1.0686640       1.0423375       0.9979750
      15.0948687       0.8309079       0.8966833       1.3126347       1.0049775       0.9946609       0.9843170       1.0093862
      15.1773548       1.0715085       0.9554321       1.1764994       0.9617682       1.0838270       0.9960874       1.2347631
      15.2598400       1.2057338       1.2397138       1.0156233       1.0785111       0.9485094       0.9950876       0.9624038
      15.3423262       0.8769760       0.9333153       0.9693949       1.0400549       0.8253413       0.9734046       0.9347149
      15.4248114       1.0155158       0.9024040       0.8265289       0.9663077       1.0168008       1.0902420       0.9556962
      15.5072975       0.8858770       0.8662025       0.8599801       1.0372255       1.0291772       0.8997072       0.7901489
      15.5897827       1.1238626       0.9489419       0.7733117       1.0928122       0.9766347       0.9054775       0.9748636
      15.6722689       1.0198243       0.9589091       0.9466661       0.9287791       1.0043025       0.9274239       0.9326216
      15.7547541       1.0234015       0.9339843       1.0910492       0.9532124       1.0477389       0.8703773       0.7536811
      15.8372402       1.0836904       1.0720019       1.1529495       1.2421125       0.9785287       1.0365710       0.9321615
      15.9197254       1.0450915       1.0560197       0.9227250       1.1746979       1.0155728       0.9511878       1.2591629
      16.0022106       0.9915680       1.0214809       1.0759552       1.0199851       0.9624258       1.1974427       1.0405294
      16.0846958       0.9790476       1.0418770       1.0803241       0.7422672       1.3143231       1.3258095       0.8413533
      16.1671829       0.9208772       1.0827850       1.1438689       0.8982412       1.3149947       1.0530709       1.0181879
      16.2496681       0.9815456       1.0322942       0.8571661       0.7453137       1.0258642       0.9204823       1.0985262
      16.3321533       0.9513203       0.9847142       0.9061258       0.9092044       0.9795297       1.1277467       1.1418712
      16.4146385       0.9589814       0.9912214       0.9739543       0.8493506       0.9569352       0.9390934       1.0136622
      16.4971256       1.0868455       0.9588588       0.9903116       0.8116893       1.0571288       1.0390385       0.9483784
      16.5796108       1.1332488       0.8295378       1.0983430       0.9302212       0.9372799       0.9791100       1.0937549
      16.6620960       1.0956362       0.8859972       0.8920493       0.8203382       1.0125736       1.1994611       1.0427397
      16.7445812       1.0099870       0.8722953       1.1373310       0.8731423       0.9727660       1.2528070       0.9953086
      16.8270664       1.0937632       1.0799847       1.1846464       0.7765521       0.8407862       0.9821197       0.8953400
      16.9095535       1.1692644       1.1325999       1.1976452       1.1333110       0.9755402       0.8839088       0.7906811
      16.9920387       1.0520813       1.0382712       1.1445428       1.0930319       0.6978385       0.9212242       1.2190721
      17.0745239       1.1641409       1.1589025       1.0020641       0.9923785       1.0104426       1.0214070       1.0706568
      17.1570091       1.1501278       1.1747555       0.8514239       1.0606358       0.9520476       1.0899072       0.9817110
      17.2394962       0.9903871       1.0681429       1.0631582       0.9383425       0.9174035       1.0670189       0.8334447
      17.3219814       1.1342791       0.9850068       1.1019868       0.9675868       1.0281476       1.0730087       1.1512654
      17.4044666       1.1797700       0.9354695       1.0499438       1.2459339       1.1623693       1.0662796       0.9483722
      17.4869518       1.0046147       1.1449821       0.9256979       1.0056093       0.9954503       0.8432611       1.1393116
      17.5694370       0.9272472       1.0342151       0.9668144       0.8721182       1.0709641       0.8871593       1.0431615
      17.6519241       0.9050029       0.9824928       0.9549596       0.9972825       0.9027758       0.9216282       1.2295066
      17.7344093       0.8767622       1.1503650       1.1444387       0.8841249       1.0599082       0.8637699       1.2244761
      17.8168945       0.8524427       1.0418540       1.0061456       1.0728836       1.0288076       0.8332224       1.2008578
      17.8993797       1.0171740       0.9127355       0.9144967       1.0685856       1.0213451       0.9902147       1.1164466
      17.9818668       1.0676889       1.0048270       1.0243363       0.9854003       1.1511446       1.0487090       1.0585841
      18.0643520       1.0672189       1.1028795       0.9651569       1.2429632       0.9851664       1.1439694       1.2705624
      18.1468372       0.9799519       0.9558666       1.2007004       0.9556457       0.9418221       1.0657493       1.1828785
      18.2293224       1.1433039       0.9543765       0.9174246       0.9059527       0.9621131       1.1167351       0.9492009
      18.3118076       0.9810101       0.8517848       1.0450968       0.9560326       0.9456258       1.1276140       0.9102805
      18.3942947       1.1098975       1.0021440       1.0942700       0.8975871       0.8736985       1.1040787       1.1210299
      18.4767799       0.9190536       0.8395774       1.1507715       0.9325777       0.9421418       0.9959744       1.0297415
      18.5592651       0.9489518       1.0497464       1.1011388       0.9722996       1.1023381       1.0364459       0.8714006
