#           Q       S_NN(Q)          S_qq(Q)          n(Q)
     17.4044666      1.0377713      0.9953371           3
     17.4869518      0.8677163      1.1371061           3
     17.5694370      0.9214815      1.0461458           3
     17.6519241      0.9564123      0.9345899           3
     17.7344093      1.0259491      1.0318897           3
     17.8168945      0.8614815      0.9622806           3
     17.8993797      0.9276537      0.9375010           3
     17.9818668      1.1137991      1.0184163           3
     18.0643520      1.0284629      1.2241559           3
     18.1468372      1.0133179      0.9430460           3
     18.2293224      0.9701542      0.9069186           3
     18.3118076      0.7951677      0.9077694           3
     18.3942947      1.0235740      1.0968606           3
     18.4767799      0.8629738      0.9573209           3
     18.5592651      0.9043952      1.0344846           3
     18.6417503      1.1109121      1.1754855           3
     18.7242374      1.0117162      1.1335403           3
     18.8067226      1.2001634      0.9381983           3
     18.8892078      0.7268545      1.2187053           3
     18.9716930      1.0999072      1.0390651           3
     19.0541782      0.8688806      1.0607549           3
     19.1366653      0.9927192      1.0209975           3
     19.2191505      0.9959347      1.0783277           3
     19.3016357      1.0533043      0.9126661           3
     19.3841209      0.9620404      0.9751475           3
     19.4666080      1.0690769      1.0028678           3
     19.5490932      0.9234611      1.0962279           3
     19.6315784      0.9162902      1.0551716           3
     19.7140636      0.7588803      1.1144427           3
     19.7965488      0.7427651      0.9039811           3
     19.8790359      0.8645178      1.1009250           3
     19.9615211      1.1093781      1.0845079           3
